Nome: DIVINOPOLIS
Codigo Estacao: A564
Latitude: -20.17333332
Longitude: -44.87499999
Altitude: 796
Situacao: Operante
Data Inicial: 2017-10-25
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2019-05-13;,2;23,3;
2019-05-14;,2;23,9;
2019-05-15;0;21,6;
2019-05-16;7,6;19,5;
2019-05-17;,2;18,4;
2019-05-18;6,4;19,9;
2019-05-19;0;19,7;
2019-05-20;,2;19,7;
2019-05-21;0;19,5;
2019-05-22;0;20;
2019-05-23;0;20,1;
2019-05-24;0;20,8;
2019-05-25;0;20,8;
2019-05-26;0;17,7;
2019-05-27;0;18,5;
2019-05-28;0;19,7;
2019-05-29;0;21,2;
2019-05-30;0;21,5;
2019-05-31;0;21,2;
2019-06-01;0;21,3;
2019-06-02;0;21;
2019-06-03;0;19,3;
2019-06-04;15,6;17;
2019-06-05;0;15,7;
2019-06-06;0;16,7;
2019-06-07;0;15,6;
2019-06-08;0;15,5;
2019-06-09;0;15,7;
2019-06-10;0;17,7;
2019-06-11;0;17,6;
2019-06-12;0;19,3;
2019-06-13;0;21;
2019-06-14;0;19,5;
2019-06-15;,2;18,8;
2019-06-16;0;19,6;
2019-06-17;0;17,9;
2019-06-18;0;18,7;
2019-06-19;0;20,6;
2019-06-20;0;18,3;
2019-06-21;0;17,9;
2019-06-22;0;18,9;
2019-06-23;0;17,4;
2019-06-24;0;18,2;
2019-06-25;0;19;
2019-06-26;0;21,4;
2019-06-27;0;21;
2019-06-28;0;19,7;
2019-06-29;0;19,1;
2019-06-30;0;19,7;
2019-07-01;0;18,1;
2019-07-02;0;18,4;
2019-07-03;0;19,1;
2019-07-04;0;19,7;
2019-07-05;0;20,8;
2019-07-06;0;16,5;
2019-07-07;0;13;
2019-07-08;0;14,2;
2019-07-09;0;14,3;
2019-07-10;0;15;
2019-07-11;0;14,8;
2019-07-12;0;15,7;
2019-07-13;0;17,6;
2019-07-14;0;19,1;
2019-07-15;0;20;
2019-07-16;0;18,1;
2019-07-17;0;17,6;
2019-07-18;0;16,1;
2019-07-19;0;15,6;
2019-07-20;0;15,7;
2019-07-21;0;16,4;
2019-07-22;0;17,3;
2019-07-23;0;17,9;
2019-07-24;0;18,7;
2019-07-25;0;18,9;
2019-07-26;0;18,9;
2019-07-27;0;17,7;
2019-07-28;0;17,8;
2019-07-29;0;18,7;
2019-07-30;0;19,8;
2019-07-31;,8;19,7;
2019-08-01;0;19,7;
2019-08-02;0;21;
2019-08-03;0;20,2;
2019-08-04;0;18,3;
2019-08-05;0;17,2;
2019-08-06;0;18,2;
2019-08-07;0;20,1;
2019-08-08;0;20,3;
2019-08-09;0;21,4;
2019-08-10;0;21,7;
2019-08-11;0;21,4;
2019-08-12;0;21,9;
2019-08-13;0;21;
2019-08-14;0;20,6;
2019-08-15;0;18,1;
2019-08-16;0;17,4;
2019-08-17;0;17,7;
2019-08-18;0;19,5;
2019-08-19;0;21;
2019-08-20;0;21,8;
2019-08-21;0;21;
2019-08-22;0;20,8;
2019-08-23;0;19,2;
2019-08-24;0;18,9;
2019-08-25;0;19,9;
2019-08-26;0;19,9;
2019-08-27;0;20,8;
2019-08-28;0;19,8;
2019-08-29;0;19,6;
2019-08-30;0;20,9;
2019-08-31;0;22,7;
2019-09-01;0;24,4;
2019-09-02;0;24,8;
2019-09-03;0;25,1;
2019-09-04;0;25,8;
2019-09-05;0;24,1;
2019-09-06;0;22,7;
2019-09-07;0;22,3;
2019-09-08;0;24;
2019-09-09;0;23;
2019-09-10;0;23,6;
2019-09-11;0;24,8;
2019-09-12;0;26,2;
2019-09-13;0;27,2;
2019-09-14;0;25,5;
2019-09-15;0;24,6;
2019-09-16;0;24,4;
2019-09-17;0;24,7;
2019-09-18;0;26,1;
2019-09-19;0;26,6;
2019-09-20;0;27,5;
2019-09-21;0;26,3;
2019-09-22;0;26;
2019-09-23;0;21,9;
2019-09-24;0;21,6;
2019-09-25;0;18,7;
2019-09-26;32,6;17,1;
2019-09-27;24,6;19,9;
2019-09-28;0;22,7;
2019-09-29;0;23,1;
2019-09-30;0;23,2;
2019-10-01;0;23,7;
2019-10-02;0;24,5;
2019-10-03;0;24,1;
2019-10-04;0;23,6;
2019-10-05;0;24,6;
2019-10-06;0;25,5;
2019-10-07;0;25,4;
2019-10-08;3,4;24,2;
2019-10-09;6,8;23,8;
2019-10-10;10,2;20,8;
2019-10-11;11,4;22,6;
2019-10-12;0;24,3;
2019-10-13;0;25,6;
2019-10-14;0;25,3;
2019-10-15;0;25,2;
2019-10-16;0;25,2;
2019-10-17;0;25,7;
2019-10-18;0;25,5;
2019-10-19;0;24,5;
2019-10-20;0;25,2;
2019-10-21;0;22,7;
2019-10-22;2,6;23,1;
2019-10-23;0;24,3;
2019-10-24;0;24,9;
2019-10-25;0;26,2;
2019-10-26;0;25,3;
2019-10-27;0;24,8;
2019-10-28;0;24,5;
2019-10-29;15,8;22,5;
2019-10-30;,8;23,6;
2019-10-31;44,8;22,7;
2019-11-01;0;22,1;
2019-11-02;4,8;23,2;
2019-11-03;0;24,9;
2019-11-04;0;26,2;
2019-11-05;0;27;
2019-11-06;4,4;26,7;
2019-11-07;9,2;24,9;
2019-11-08;0;23,7;
2019-11-09;18,6;24,4;
2019-11-10;,2;26;
2019-11-11;,2;26,2;
